5,000	11,030	-5,282
6,000	10,026	-5,609
7,200	9,605	-5,935
8,640	9,594	-6,578
10,368	9,440	-7,258
12,442	9,263	-7,937
14,930	9,112	-8,871
17,916	8,860	-9,373
21,499	8,724	-10,373
25,799	8,678	-11,597
30,959	8,575	-12,956
37,150	8,437	-14,498
44,581	8,294	-16,216
53,497	8,174	-18,065
64,196	7,839	-20,100
77,035	7,567	-22,207
92,442	7,450	-25,469
110,931	7,097	-28,025
133,117	6,722	-30,787
159,740	6,324	-33,706
191,688	5,884	-36,311
230,026	5,448	-40,022
276,031	5,001	-42,845
331,237	4,548	-45,477
397,484	4,105	-47,905
476,981	3,710	-49,925
572,377	3,310	-51,834
686,853	2,930	-53,458
824,223	2,584	-54,720
989,068	2,268	-55,529
1186,882	1,987	-55,886
1424,258	1,740	-55,677
1709,109	1,521	-55,043
2050,931	1,334	-53,860
2461,118	1,175	-52,171
2953,341	1,039	-49,805
3544,009	0,926	-47,204
4252,811	0,836	-44,292
5103,373	0,761	-41,124
6124,048	0,700	-37,946
7348,858	0,652	-34,727
8818,629	0,614	-31,682
10582,355	0,582	-28,748
12698,826	0,561	-26,384
15238,592	0,539	-24,183
18286,310	0,520	-22,308
21943,572	0,506	-20,775
26332,286	0,492	-19,583
31598,744	0,480	-18,714
37918,492	0,468	-18,137
45502,191	0,457	-17,835
54602,629	0,446	-17,823
65523,155	0,435	-16,640
78627,786	0,422	-18,555
94353,343	0,409	-19,304
100000,000	0,404	-19,619
