Time	Temperature 1	Temperature 2	Temperature 3	Temperature 4
t	Temp 1	Temp 2	Temp 3	Temp 4
min 	°C 	°C 	°C 	°C 
0	25,9366065606	24,823211653	23,8017531186	23,080756172
0,5	26,6092703221	27,189298724	23,6854702985	22,9877340438
1	28,630179498	28,909750203	23,7086908787	23,1040082448
1,5	30,6617621248	29,912878999	23,6854702985	22,9179525814
2	32,4982831533	30,6149254167	23,7319104094	23,0575027276
2,5	34,1633586779	31,4600949828	23,7783463702	22,9644749922
3	35,6066461014	31,8605333631	23,8713964903	23,0109916755
3,5	36,969578877	32,5455736591	23,9178205524	23,1971936003
4	38,2266023009	33,2096628608	23,9642408426	22,8246994648
4,5	39,3743995587	33,8527745488	24,0338644119	23,080756172
5	40,4355999467	34,3309762751	24,1268737041	23,1040082448
5,5	41,3562344573	34,6186675734	24,2428788024	23,1739469051
6	42,2355611031	35,4856334199	24,3126625639	23,0575027276
6,5	43,0729298533	35,6550063927	24,4286371978	23,3366466476
7	43,840157141	36,0187452777	24,5215945941	23,0342478994
7,5	44,5351386558	35,9942880528	24,6143516729	23,1506988863
8	45,2104620729	36,4077894483	24,7070992867	23,1040082448
8,5	45,810418434	36,7984102047	24,8463946095	23,0342478994
9	46,3884299658	36,8961870273	24,9159406727	23,1040082448
9,5	46,9718431489	37,1902640846	25,0783899244	23,1040082448
10	47,4764467615	37,608431915	25,1711013233	23,0342478994
10,5	47,9569713134	37,9045774178	25,3335246043	22,9877340438
11	48,4412088204	38,3754062446	25,4495882724	22,9412145088
11,5	48,9009326151	38,6739243334	25,5654575963	23,1971936003
12	49,3060669609	38,99859579	25,6583408074	23,220438984
12,5	49,7143717365	38,9234590938	25,8205516882	23,0575027276
13	50,0960033712	39,0986016564	25,959779697	23,2436830681
13,5	50,4210379052	39,5755766279	26,0756467582	23,2436830681
14	50,8076417922	39,6007304801	26,1685327005	23,1040082448
14,5	51,1672489733	40,0298839828	26,3307580384	23,2436830681
15	51,4988245865	40,207052486	26,4468308056	23,080756172
15,5	51,8020944415	40,2579484096	26,5627215105	23,3600748815
16	52,13770551	40,5374946616	26,6788115483	23,7551289027
16,5	52,444721536	40,8435219519	26,8180959444	23,220438984
17	52,7535774092	41,2535112584	26,9340215258	23,220438984
17,5	53,0643103523	41,4076463913	27,073340736	23,1506988863
18	53,3143250857	41,6912304457	27,189298724	23,1274495319
18,5	53,6285337415	41,7689060348	27,3286610001	23,3134076423
19	53,8811211787	41,8981866483	27,3982570221	23,3134076423
19,5	54,1989328609	42,2095720121	27,584071845	23,2669258645
20	54,4547160465	42,365855444	27,6769047432	23,5925772473
20,5	54,7118400913	42,5222534001	27,8395883698	23,4762454805
21	54,937974153	42,915137498	27,9324634075	23,2669258645
21,5	55,1974062215	43,0464276401	28,1184546251	23,2901673853
22	55,4912137566	43,3365454711	28,1881483321	23,3366466476
22,5	55,7210420296	43,4686117543	28,3045184746	23,3600748815
23	55,9189617599	43,6276352802	28,4674123142	23,2901673853
23,5	56,1505988056	43,65413802	28,5604140687	23,4994760481
24	56,3170244773	43,8933346537	28,6534373899	23,1739469051
24,5	56,5509039938	43,7868026367	28,7234101494	23,3833114091
25	56,7520693114	44,1600572265	28,839742374	23,2669258645
25,5	56,9206483859	44,3472291045	28,9330255878	23,1971936003
26	57,1234203552	44,5619941936	29,0494256838	23,3833114091
